model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
TahaDouaji/detr-doc-table-detection,https://huggingface.co/TahaDouaji/detr-doc-table-detection,16439,Yes,88.0,Yes,Yes,3.0,0.0,2022.0,2022-03-11
alvaroalon2/biobert_chemical_ner,https://huggingface.co/alvaroalon2/biobert_chemical_ner,419128,Yes,28.0,Yes,Yes,0.0,0.0,2021.0,2021-05-28
skt/kogpt2-base-v2,https://huggingface.co/skt/kogpt2-base-v2,27017,Yes,4.0,Yes,Yes,0.0,0.0,2021.0,2021-05-03
Unbabel/xlm-roberta-comet-small,https://huggingface.co/Unbabel/xlm-roberta-comet-small,15866,Yes,50.0,Yes,Yes,1.0,0.0,2021.0,2021-07-10
impira/layoutlm-document-classifier,https://huggingface.co/impira/layoutlm-document-classifier,35466,Yes,1.0,Yes,Yes,0.0,0.0,2022.0,2022-09-19
shahrukhx01/question-vs-statement-classifier,https://huggingface.co/shahrukhx01/question-vs-statement-classifier,17997,Yes,41.0,Yes,Yes,1.0,0.0,2021.0,2021-06-02
vennify/t5-base-grammar-correction,https://huggingface.co/vennify/t5-base-grammar-correction,64938,Yes,93.0,Yes,Yes,2.0,0.0,2021.0,2021-08-17
akreal/tiny-random-bert,https://huggingface.co/akreal/tiny-random-bert,5171,Yes,13.0,Yes,Yes,0.0,0.0,2021.0,2021-07-24
deepset/roberta-large-squad2,https://huggingface.co/deepset/roberta-large-squad2,176689,Yes,7.0,Yes,Yes,0.0,1.0,2021.0,2021-03-11
ml6team/bert-base-uncased-city-country-ner,https://huggingface.co/ml6team/bert-base-uncased-city-country-ner,55272,Yes,99.0,Yes,Yes,3.0,0.0,2022.0,2022-01-20
DaNLP/da-electra-hatespeech-detection,https://huggingface.co/DaNLP/da-electra-hatespeech-detection,7942,Yes,86.0,Yes,Yes,2.0,0.0,2022.0,2022-02-16
vasudevgupta/bigbird-roberta-natural-questions,https://huggingface.co/vasudevgupta/bigbird-roberta-natural-questions,15037,Yes,83.0,Yes,Yes,0.0,0.0,2021.0,2021-05-04
akdeniz27/roberta-large-cuad,https://huggingface.co/akdeniz27/roberta-large-cuad,5693,Yes,36.0,Yes,Yes,1.0,0.0,2021.0,2021-11-13
SkolkovoInstitute/roberta_toxicity_classifier_v1,https://huggingface.co/SkolkovoInstitute/roberta_toxicity_classifier_v1,14192,Yes,41.0,Yes,Yes,0.0,0.0,2021.0,2021-11-02
fxmarty/resnet-tiny-beans,https://huggingface.co/fxmarty/resnet-tiny-beans,5481,Yes,16.0,Yes,Yes,0.0,0.0,2022.0,2022-07-27
microsoft/unixcoder-base,https://huggingface.co/microsoft/unixcoder-base,9725,Yes,3.0,Yes,Yes,0.0,1.0,2022.0,2022-03-23
Zixtrauce/JohnBot,https://huggingface.co/Zixtrauce/JohnBot,4334,Yes,1.0,Yes,Yes,0.0,0.0,2022.0,2022-01-02
SAPOSS/password-model,https://huggingface.co/SAPOSS/password-model,6212,Yes,99.0,Yes,Yes,3.0,0.0,2021.0,2021-10-06
