Model,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z
bert-base-uncased,503306,4846554,4344830,4190563,3824013,3341030,3535077,5218269,6797524,4864056,4509275,4709981,5595114,5805496,5536141,8270539,5595018
distilbert-base-uncased,109545,1422203,1891869,2080622,1507722,1397985,2554586,1998123,1821277,2055612,3423703,1892212,2645442,2919069,2652510,1777137,1466863
bert-base-chinese,63403,696416,450475,824087,853814,678126,393718,640096,785309,999236,717146,919186,1152576,761657,891794,510999,434498
gpt2,7953735,44628757,3153847,3578719,3066973,2765890,2719064,3243570,2395979,0,3047771,3597016,2470182,2506708,2288407,2941814,3757792
sentence-transformers/all-MiniLM-L6-v2,39723,251154,445434,483968,454445,478818,426804,704332,441138,0,481468,568204,487984,504331,532302,1109714,1388801
roberta-base,280083,3060941,3194573,2782838,1355457,1550103,1378965,1925699,1629441,0,2371400,1799010,2135155,1236336,1465461,1660083,2642482
hfl/chinese-macbert-base,179,4345,4042,20416,45584,35209,3220509,7875757,861697,0,144224,34320340,2342838,19659,33367,96205,37169
bert-base-cased,205531,1162733,956131,1122678,1777784,1151809,1229701,1085840,1226371,1184242,1220910,1184406,2143310,2779310,2072613,2882594,2093222
xlm-roberta-base,57225,736880,688895,1162977,959503,564586,766557,996917,3600023,0,2018852,1769949,1708130,2024755,1719696,683078,530991
albert-base-v2,4413,204792,179347,300307,464729,243469,370575,693540,364811,630326,1051104,941800,843602,826825,679408,633339,564483
distilgpt2,659195,6805333,7240289,4910137,2217370,3731710,1464035,1645188,1211026,982893,1076336,915962,709773,1684998,937900,762039,521612
distilbert-base-uncased-finetuned-sst-2-english,106753,4297273,3777122,2482557,2562038,2528152,2229095,2594423,1908363,1104895,1326610,1294116,1146252,1356520,1298714,1120664,633477
facebook/bart-large-mnli,19239,166246,163431,201953,305952,203999,210975,242127,299627,217042,505152,336608,403538,394369,471172,429798,424817
SpanBERT/spanbert-large-cased,6355,84540,102072,114058,51396,76173,212861,602013,791940,1091415,1497800,1688170,1786590,2066568,2299912,1617166,1635827
bert-base-multilingual-cased,31959,432028,400764,877857,774628,333650,292303,333025,484748,2058256,572010,730569,620155,447907,386947,262718,187514
hfl/chinese-roberta-wwm-ext,24281,231139,238276,231826,269724,2771150,2049597,166592,138412,0,133259,131302,106758,150842,126726,106715,106847
roberta-large,30282,821934,499737,502351,770473,722969,508169,1029778,416453,0,367050,348542,265345,575006,744069,485236,515689
xlm-roberta-large,10326,110666,187816,150806,366314,343890,320336,331069,302381,0,238110,279089,258724,281244,224625,202142,199367
xlm-roberta-large-finetuned-conll03-english,2065,22367,207497,163634,588274,400248,414774,656600,472853,0,1055562,1017792,615278,184229,81628,62363,81217
klue/bert-base,12521,122826,133863,137200,137180,119456,96398,191169,101335,0,112263,123962,122277,137652,141460,133042,104728
sentence-transformers/all-mpnet-base-v2,8284,120886,192424,138372,186964,148921,104976,257841,203390,0,99249,171029,418192,326729,114419,307781,212354
t5-small,17066,263953,293441,264512,210374,213469,189620,565070,186178,0,440657,511863,459114,355947,417571,538842,287296
t5-base,15134,179728,226781,349218,182725,129367,206642,234621,229622,0,263116,236274,442182,482490,557756,536205,279546
