model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
moussaKam/frugalscore_tiny_bert-base_bert-score,https://huggingface.co/moussaKam/frugalscore_tiny_bert-base_bert-score,341656,Yes,100.0,Yes,Yes,1.0,0.0,2021.0,2021-11-26
dmis-lab/biosyn-sapbert-bc2gn,https://huggingface.co/dmis-lab/biosyn-sapbert-bc2gn,308417,Yes,1.0,Yes,Yes,0.0,0.0,2022.0,2022-02-25
bhadresh-savani/bert-base-go-emotion,https://huggingface.co/bhadresh-savani/bert-base-go-emotion,264967,Yes,50.0,Yes,Yes,5.0,1.0,2021.0,2021-11-27
deepset/roberta-large-squad2,https://huggingface.co/deepset/roberta-large-squad2,176689,Yes,7.0,Yes,Yes,0.0,1.0,2021.0,2021-03-11
nreimers/mMiniLMv2-L12-H384-distilled-from-XLMR-Large,https://huggingface.co/nreimers/mMiniLMv2-L12-H384-distilled-from-XLMR-Large,162143,Yes,9.0,Yes,Yes,1.0,0.0,2021.0,2021-06-20
prithivida/parrot_adequacy_model,https://huggingface.co/prithivida/parrot_adequacy_model,109488,Yes,47.0,Yes,Yes,0.0,0.0,2022.0,2022-05-27
sberbank-ai/ruRoberta-large,https://huggingface.co/sberbank-ai/ruRoberta-large,69255,Yes,28.0,Yes,Yes,1.0,0.0,2021.0,2021-07-06
vennify/t5-base-grammar-correction,https://huggingface.co/vennify/t5-base-grammar-correction,64938,Yes,93.0,Yes,Yes,2.0,0.0,2021.0,2021-08-17
ml6team/bert-base-uncased-city-country-ner,https://huggingface.co/ml6team/bert-base-uncased-city-country-ner,55272,Yes,99.0,Yes,Yes,3.0,0.0,2022.0,2022-01-20
stanfordnlp/stanza-he,https://huggingface.co/stanfordnlp/stanza-he,30039,Yes,76.0,Yes,Yes,1.0,0.0,2021.0,2021-09-07
allenai/specter,https://huggingface.co/allenai/specter,25385,Yes,72.0,Yes,Yes,1.0,0.0,2021.0,2021-01-26
mrm8488/bert-tiny-finetuned-sms-spam-detection,https://huggingface.co/mrm8488/bert-tiny-finetuned-sms-spam-detection,25336,Yes,13.0,Yes,Yes,1.0,0.0,2021.0,2021-02-01
stanfordnlp/stanza-fr,https://huggingface.co/stanfordnlp/stanza-fr,24911,Yes,76.0,Yes,Yes,1.0,0.0,2021.0,2021-09-07
microsoft/cocolm-large,https://huggingface.co/microsoft/cocolm-large,23420,Yes,87.0,Yes,Yes,2.0,0.0,2021.0,2021-10-29
shahrukhx01/question-vs-statement-classifier,https://huggingface.co/shahrukhx01/question-vs-statement-classifier,17997,Yes,41.0,Yes,Yes,1.0,0.0,2021.0,2021-06-02
skt/kobert-base-v1,https://huggingface.co/skt/kobert-base-v1,17542,Yes,4.0,Yes,Yes,0.0,0.0,2021.0,2021-07-01
Unbabel/xlm-roberta-comet-small,https://huggingface.co/Unbabel/xlm-roberta-comet-small,15866,Yes,50.0,Yes,Yes,1.0,0.0,2021.0,2021-07-10
